PredictionString,image_id
1 0.7318308 140.22397 51.37345 259.66284 172.43207 1 0.6161264 230.88208 151.03596 249.23593 238.22993 1 0.12706904 214.62195 148.11343 252.44485 239.04623 2 0.118656926 138.74963 51.036087 259.91052 172.35033 4 0.061392378 161.06981 72.224 257.18115 168.0127 8 0.9998783 172.62091 236.7702 461.13177 470.3338 ,batch_01_vt/0021.jpg
1 0.20228997 1.6392059 245.8529 300.34222 457.87183 1 0.086954325 287.5628 340.90137 306.19135 377.18494 6 0.303918 287.30634 341.45288 307.52582 376.39783 8 0.9961571 155.53864 59.661415 475.44257 261.97272 8 0.9890745 284.83698 250.96756 486.6886 430.5767 8 0.9828266 455.02896 349.17764 511.15848 436.41995 8 0.9796444 293.41833 170.94124 490.4912 270.47906 8 0.92040026 2.7914429 245.75362 300.879 458.0293 8 0.17189285 169.36293 75.77934 471.27008 181.3965 8 0.061223105 233.12683 50.25972 328.778 107.53778 8 0.058221947 155.09317 36.656982 488.65622 430.24124 ,batch_01_vt/0028.jpg
0 0.05953554 0.0 395.39032 0.0 429.68085 1 0.912573 80.30995 168.37361 367.222 377.53888 1 0.07390903 0.0 395.39032 0.0 429.68085 2 0.08546525 0.0 395.39032 0.0 429.68085 4 0.052355815 0.0 395.39032 0.0 429.68085 5 0.056186765 0.0 395.39032 0.0 429.68085 6 0.07751921 0.0 395.39032 0.0 429.68085 7 0.058708485 0.0 395.39032 0.0 429.68085 8 0.10181251 80.348785 168.25214 367.51755 377.37384 8 0.07572473 0.0 395.39032 0.0 429.68085 10 0.05764445 0.0 395.39032 0.0 429.68085 ,batch_01_vt/0031.jpg
1 0.2111828 0.0 221.50827 36.351246 311.7393 8 0.981188 28.929611 120.885345 386.1969 373.63733 8 0.5779013 30.658722 227.40753 335.41156 375.93262 8 0.10293383 0.0 221.74179 36.37345 311.86014 ,batch_01_vt/0032.jpg
1 0.82041365 388.36865 264.85236 487.73004 345.3106 1 0.15469725 38.35392 458.80768 72.00812 472.24377 1 0.11435219 335.4869 292.90802 395.4116 331.92627 1 0.08764345 460.48962 213.43202 510.31818 261.52347 1 0.07753539 238.35722 16.659983 273.8302 78.36628 1 0.067375965 282.0097 135.12979 358.34015 221.4823 1 0.06621137 167.85634 298.9347 282.9729 390.14783 1 0.052286528 269.06693 344.57755 331.7822 370.90024 2 0.9800413 347.15256 166.36536 510.4017 297.4034 2 0.7066822 0.0 456.317 98.04246 510.4247 2 0.6138352 317.81967 245.28365 413.68228 294.33493 2 0.24212241 378.59222 250.07785 507.65527 340.85287 2 0.17234911 167.85634 298.9347 282.9729 390.14783 2 0.15163335 0.0 459.2831 20.413538 491.72318 2 0.13801816 147.30183 139.67279 380.26306 272.5163 2 0.13623863 352.964 289.6027 419.51184 300.303 2 0.12600279 0.11019039 489.13123 22.895958 511.46716 2 0.12243551 335.4869 292.90802 395.4116 331.92627 2 0.119968854 0.0 457.22327 25.708733 512.0 2 0.10451799 0.35608292 193.91367 67.60391 327.374 2 0.09126019 457.24118 211.89488 511.0463 278.24512 2 0.08904331 37.77985 459.0026 73.79268 472.92697 2 0.08124864 241.46602 271.3157 384.39966 374.70218 2 0.065193996 478.6243 274.25085 510.59598 287.4773 2 0.058828197 485.05035 252.0735 510.78882 285.3001 2 0.05546872 340.94855 183.12718 362.61566 221.08665 3 0.27455583 38.10479 458.81625 72.73298 472.25107 6 0.6298649 241.35855 271.1723 384.4066 374.5266 6 0.5764484 290.77817 1.6507006 312.61472 25.596474 6 0.54844403 237.87367 18.248884 274.50253 78.07551 6 0.38149542 167.06067 299.39255 284.0759 385.4601 6 0.12341048 206.32343 6.2845993 277.62088 77.50295 6 0.09749736 38.10479 458.81625 72.73298 472.25107 6 0.083260275 335.4869 292.90802 395.4116 331.92627 6 0.05971367 0.5413265 489.35178 23.168829 511.32315 6 0.055038735 31.228397 443.1793 97.264694 465.1071 6 0.050622217 69.714966 459.01813 221.54276 511.71967 7 0.98423684 0.6365433 85.11615 49.80462 136.84798 7 0.2146317 241.42743 271.74603 384.578 374.82147 7 0.05915696 230.95522 6.686672 275.5905 78.552444 7 0.051281556 203.90906 281.6472 257.20178 304.5029 8 0.9994431 148.11255 0.0 353.95087 220.57182 8 0.9981504 1.2364273 261.49487 219.01031 476.13318 8 0.9981401 45.067 58.620102 193.46388 220.71336 8 0.99571496 156.70203 349.4909 351.96875 498.18097 8 0.9551922 0.0 196.18692 68.64664 324.63016 8 0.87241393 67.98936 439.2155 225.03671 511.59607 8 0.56346446 282.0097 135.12979 358.34015 221.4823 8 0.47622985 162.81282 300.32794 286.35233 405.74377 8 0.435121 337.2878 295.16074 396.92258 329.60532 8 0.29931787 241.54312 271.16693 384.29514 374.66382 8 0.27176344 0.05932808 124.98849 43.98829 213.68658 8 0.13893643 290.921 1.3125734 312.2418 25.567581 8 0.12785706 387.08057 265.22614 492.8324 345.8094 8 0.12090677 163.95369 138.5888 362.45386 222.51498 8 0.10437475 459.71017 213.94281 511.098 264.2244 8 0.087449804 0.0 315.7915 22.278011 341.48645 8 0.073735565 0.0 119.10456 79.775955 218.96152 ,batch_01_vt/0070.jpg
1 0.3364221 68.8276 235.91669 107.87641 253.71216 1 0.22830175 390.23578 294.22086 418.2138 310.72012 1 0.19668576 82.503914 217.90002 111.1392 238.66199 1 0.13312437 305.1228 215.93091 348.34088 258.46457 2 0.32596305 82.75472 217.90479 111.18142 237.87952 2 0.2818492 68.8276 235.91669 107.87641 253.71216 2 0.1184785 73.01157 217.83331 112.623634 252.74222 8 0.99975127 263.62097 196.29361 406.4214 348.8347 8 0.9996972 53.38788 234.58466 169.7466 300.19397 8 0.9994766 123.01355 246.54633 278.6815 361.87317 8 0.9384619 126.18393 159.6889 268.98932 269.1623 8 0.54631937 129.35812 166.53833 185.94159 219.94644 8 0.38446653 285.62885 215.57315 353.54114 258.37802 8 0.21899253 407.3653 267.41354 493.90283 299.91837 8 0.1994013 289.60373 220.12497 312.32925 240.96872 8 0.09616252 309.26462 228.86426 344.3918 258.40155 8 0.07467202 302.46457 216.4932 348.62344 240.2402 8 0.06660527 68.625206 235.90399 107.67008 254.16327 8 0.053908493 282.47394 219.29637 322.83374 268.51334 ,batch_01_vt/0076.jpg
1 0.2021696 245.96452 218.69948 311.21283 245.72722 1 0.1765311 296.08658 312.0144 347.64706 346.2962 1 0.1484018 287.2562 244.06146 302.85214 268.8921 1 0.13067688 321.38022 157.95816 405.592 198.71326 1 0.10263994 403.29755 230.13298 469.66187 272.36673 1 0.067319706 378.97955 171.38239 403.79974 200.33185 2 0.6031926 321.02908 157.97461 405.53256 198.48938 2 0.49736854 245.98743 218.57127 311.15076 245.69499 2 0.21774416 295.77176 312.09076 347.54446 346.1938 2 0.214082 287.2562 244.06146 302.85214 268.8921 2 0.10220076 379.39706 171.03442 403.22177 200.86325 2 0.08268941 324.8149 176.84665 400.35452 194.06097 3 0.123494096 321.00714 157.13692 405.5349 198.50023 6 0.40880775 221.28355 241.59535 296.85162 299.0362 6 0.31155017 403.213 230.1401 469.88196 272.535 6 0.07740842 318.30316 146.79948 405.0172 199.15907 6 0.061704088 245.87515 218.51799 311.27524 245.86855 8 0.9989722 99.95638 114.21659 209.89175 269.0674 8 0.9960389 182.81818 88.00288 288.704 216.80798 8 0.9953992 432.53815 147.03963 512.0 238.08995 8 0.99463165 342.61444 267.06302 473.79895 415.03665 8 0.9919205 213.55861 319.18286 423.38123 473.62183 8 0.9907917 296.7182 178.55235 431.23322 283.75244 8 0.9826355 130.82462 227.3259 267.97025 328.50742 8 0.9751893 393.79227 398.3834 512.0 511.88394 8 0.96201396 463.56677 348.46716 510.89062 410.64868 8 0.9615137 440.28238 208.68173 512.0 357.47903 8 0.93341696 301.44232 277.65372 374.49615 316.84903 8 0.9107461 179.69041 196.8682 260.7229 251.01624 8 0.882276 285.30197 179.12769 326.4847 223.47015 8 0.8759775 435.90707 344.09747 472.88626 411.4997 8 0.66173625 379.8766 0.0 511.02094 104.09747 8 0.65017295 197.5315 315.4983 348.20862 386.55377 8 0.6383932 403.23288 230.15796 470.0305 272.5361 8 0.57601225 308.39633 111.340866 411.30838 203.14174 8 0.45417804 285.39276 273.0887 309.00006 320.69235 8 0.42818463 212.72733 304.09137 286.33954 323.80896 8 0.40738007 398.34943 98.93965 512.0 186.78374 8 0.3423124 295.12912 311.7284 348.43277 346.46478 8 0.29774827 399.94205 172.55331 430.63858 202.20087 8 0.22413535 320.2397 153.49577 405.02924 198.09764 8 0.20629705 245.96675 218.57051 311.17114 245.75563 8 0.17806269 397.57816 165.4218 436.3865 223.93971 8 0.149261 286.83725 243.54466 302.3677 269.19174 8 0.14886227 179.05867 197.89592 234.30959 237.09425 8 0.13891682 176.13988 206.16489 313.92743 253.48569 8 0.1299922 288.54065 266.9417 413.7824 318.3612 8 0.12997374 263.04572 187.53726 293.20227 218.73444 8 0.12675539 327.13562 154.23996 403.19647 174.21082 8 0.124121465 220.2818 241.70155 303.09357 306.95172 8 0.12029244 380.51852 2.4873047 512.0 206.29868 8 0.11105261 396.74973 342.1808 512.0 411.8875 8 0.1091722 240.5308 341.67465 349.07452 396.12753 8 0.10478928 397.14282 192.96246 434.1021 217.91705 8 0.100505725 287.15033 274.1032 379.7719 339.02917 8 0.0850888 285.74728 243.46255 315.04446 323.60458 8 0.07755359 216.67067 315.0978 349.0293 347.73886 8 0.07601157 332.95062 311.356 351.15125 348.86075 8 0.071746185 355.49603 156.1029 404.7984 171.69269 8 0.07146747 206.68793 273.79492 366.06622 351.59863 8 0.06800872 468.49225 394.88315 510.92194 412.33597 8 0.063343234 257.55606 202.22548 280.4714 219.04988 8 0.06221758 332.55853 343.07278 381.92908 406.28683 8 0.05455135 465.7195 365.41513 501.55478 396.20255 8 0.050283555 296.12878 100.54695 504.09344 195.78127 ,batch_01_vt/0078.jpg
1 0.8445393 215.5956 196.26495 262.7499 267.81952 1 0.11102564 134.00656 204.82303 153.53549 252.7172 1 0.07021424 98.01696 205.46878 273.00793 340.69894 2 0.13804859 431.11978 325.96826 510.21414 512.0 4 0.06614499 98.47817 220.99611 274.78336 347.152 5 0.07693951 99.02503 227.95992 275.80768 343.63733 6 0.659201 99.38398 230.64182 276.64432 348.4813 10 0.14570346 97.45085 217.81264 274.7473 336.66434 ,batch_01_vt/0096.jpg
1 0.24857774 319.44232 228.31516 374.71198 261.6729 1 0.2439049 399.08786 214.46007 424.77646 232.74773 1 0.23766677 171.68347 301.95865 242.77875 351.33237 1 0.18362 16.343515 172.71918 54.87271 193.6413 1 0.17969006 361.95398 217.48853 483.02454 375.49335 1 0.15478374 370.72635 293.10034 429.89297 362.9287 1 0.105606005 275.277 289.1051 431.04123 380.0282 1 0.091926776 0.9540386 174.41638 21.026852 199.15009 1 0.0776295 35.804375 238.72192 60.73343 261.72903 1 0.068666965 360.7542 219.31326 474.33514 293.10287 2 0.63973373 274.93118 291.57245 434.0635 379.10657 2 0.3957993 171.68347 301.95865 242.77875 351.33237 2 0.12976743 13.381044 172.92458 55.18754 196.74754 2 0.09828139 315.12848 321.4583 342.00403 340.48303 2 0.06607742 370.72635 293.10034 429.89297 362.9287 2 0.06424527 0.57355976 175.608 20.52882 199.32816 2 0.052250583 361.62152 216.79947 483.3109 377.24387 3 0.11635473 370.72635 293.10034 429.89297 362.9287 3 0.06177119 170.01643 302.14606 243.03767 351.36896 6 0.7964496 278.97305 321.01437 344.4083 380.5809 6 0.1645648 15.732138 172.81184 55.096764 195.55516 6 0.08582124 315.12848 321.4583 342.00403 340.48303 6 0.07059279 277.41827 304.12808 434.2973 379.7222 7 0.32544166 15.929081 173.47812 55.379803 195.82236 7 0.15367529 255.4034 288.02057 292.66772 322.27246 7 0.05569823 372.22333 349.68243 411.4922 382.9735 8 0.9993036 0.99633026 301.67316 239.91348 509.3869 8 0.9974446 32.953598 237.7567 186.75606 348.39923 8 0.9959766 0.0 174.52217 58.570503 267.53455 8 0.9952695 134.31299 281.79492 290.69244 446.9961 8 0.99333787 263.77332 287.2138 447.7296 467.476 8 0.90321934 361.80835 217.14871 482.9226 375.56442 8 0.8443321 1.746582 241.425 71.06985 351.9468 8 0.6404195 274.0345 289.49384 432.00122 380.27454 8 0.54721725 319.22275 228.45921 374.77127 261.83362 8 0.39721718 169.27333 279.37024 290.91312 357.77753 8 0.26673102 35.962982 239.52266 63.714622 261.69592 8 0.26516077 1.2425613 242.32076 76.270256 453.5736 8 0.17185013 168.68396 301.8883 247.50876 350.7389 8 0.07944644 224.83841 326.76926 259.09747 355.12247 8 0.067492746 353.58496 250.37198 373.52356 290.45682 ,batch_01_vt/0101.jpg
1 0.43399048 116.703064 0.67783546 429.6463 62.263283 1 0.3148 405.01923 111.96394 512.0 319.03778 1 0.22514763 466.80386 350.90277 512.0 409.3418 1 0.16471922 14.966858 114.258194 214.10597 194.81764 1 0.11320631 193.45255 150.21805 222.54236 167.38223 1 0.09991205 92.91272 256.11713 229.86795 391.28656 1 0.07196849 400.83075 206.12471 417.90216 254.23143 1 0.063295096 155.11203 277.514 304.9538 396.39957 2 0.3958609 90.26198 256.6728 230.39308 388.5329 2 0.27044883 403.13452 111.90702 512.0 326.29962 2 0.2410894 403.9151 408.1961 512.0 511.80133 2 0.19886243 441.27576 465.33847 512.0 511.15982 2 0.12399233 4.363632 0.49918365 492.71204 231.88104 2 0.11987567 151.01198 270.70758 299.9309 397.12732 2 0.107783526 382.92294 95.43088 512.0 512.0 2 0.08502567 155.71954 130.67819 251.25836 169.51285 2 0.07200348 112.73566 1.1908302 430.8415 62.60586 2 0.05595565 404.08282 163.95572 442.7959 321.70074 2 0.055093937 193.45255 150.21805 222.54236 167.38223 6 0.62078637 156.02667 274.7736 303.17108 395.65652 6 0.37518787 93.02817 256.70874 240.49954 390.69708 6 0.11535493 441.1563 465.22107 512.0 511.1549 6 0.105891384 107.341354 0.9760685 430.86475 62.23609 6 0.10515591 0.0 128.24725 444.5484 512.0 6 0.08668899 23.87806 113.73185 213.31964 199.06528 6 0.0607046 0.69511604 323.59634 29.532137 487.86398 6 0.054217964 404.02505 406.70447 512.0 511.72406 8 0.9612375 0.0 125.79933 444.11362 512.0 8 0.35258663 20.349838 114.56662 230.02116 197.92685 8 0.3152752 27.98413 146.73065 204.5753 195.48071 8 0.23330985 466.7805 351.5749 512.0 409.484 8 0.14831753 89.803185 256.34735 235.77591 390.8626 8 0.1369257 107.341354 0.9760685 430.86475 62.23609 8 0.07254048 155.11203 277.514 304.9538 396.39957 8 0.07090784 344.02322 163.87079 440.64273 324.83365 8 0.056342624 193.45255 150.21805 222.54236 167.38223 8 0.053249396 440.69443 465.00168 512.0 511.16556 10 0.29276255 113.41875 0.8067627 429.85968 61.967285 10 0.06028378 20.759254 113.895836 211.90091 197.44073 10 0.052304547 397.71838 108.56482 512.0 374.46942 ,batch_01_vt/0122.jpg
