PredictionString,image_id
1 0.25145975 165.72742 70.75747 258.25992 170.94669 1 0.141572 152.14633 54.43962 282.18854 238.10725 1 0.065186165 54.386887 12.243301 345.7885 261.6228 2 0.07126926 33.43216 12.551964 357.53177 257.11774 8 0.999676 174.21115 228.50436 471.0635 471.9022 ,batch_01_vt/0021.jpg
1 0.7043852 0.0 241.01427 298.54163 455.08948 1 0.23404293 285.9659 346.3042 304.99118 378.69922 2 0.13783328 0.0 241.53596 298.32135 455.10272 6 0.15016037 285.9659 346.3042 304.99118 378.69922 6 0.07748009 269.8539 171.71823 479.27585 265.23312 8 0.9968279 156.12355 69.22395 475.74274 276.3863 8 0.97307485 455.55356 348.73557 510.78207 435.3754 8 0.96748537 284.74313 214.862 479.1337 431.59387 8 0.6797376 290.00543 174.76071 486.0786 276.24448 8 0.635815 203.7705 89.30452 486.54663 431.14758 8 0.28158706 0.0 241.68643 298.85913 455.89694 8 0.19462927 156.40465 67.62393 467.54193 172.4329 8 0.05979067 168.79083 58.441643 356.32233 201.29617 ,batch_01_vt/0028.jpg
1 0.86416715 65.92398 148.8432 376.424 394.7212 8 0.22897983 68.18129 150.9698 375.59247 396.45874 ,batch_01_vt/0031.jpg
2 0.06907763 289.72064 166.01462 371.70697 231.75153 8 0.9471305 27.276535 116.67709 401.84045 399.80026 8 0.5671987 27.51973 220.755 321.1952 389.89343 8 0.3387797 167.0231 120.48398 385.93155 360.19662 ,batch_01_vt/0032.jpg
1 0.72011524 388.07553 260.72092 491.57486 344.70914 1 0.3100857 335.97586 295.12253 380.6592 319.6509 1 0.29968956 455.58478 213.42972 509.37982 262.33704 1 0.17538671 235.76128 270.96863 384.48407 380.38452 1 0.16167271 217.45271 389.05316 287.87622 462.15613 1 0.13636597 1.79496 133.17532 72.77873 334.0637 1 0.12857218 329.63272 288.5895 391.14767 326.3834 1 0.1259946 3.1807709 456.8341 101.96998 511.36578 1 0.095662095 357.38925 164.52441 509.5281 343.2783 1 0.07551388 2.055128 125.53635 62.970528 219.47412 1 0.07522811 72.4791 464.3127 108.673836 489.796 2 0.9445986 341.02844 164.14406 510.02673 303.79364 2 0.52032506 314.1534 245.00645 410.57645 305.1929 2 0.36585703 452.91986 208.37442 512.0 277.7447 2 0.34156185 0.16883087 456.1729 97.73833 511.37292 2 0.26858303 375.17047 218.49658 511.49335 333.74945 2 0.19367848 203.26508 278.32303 254.41653 303.36032 2 0.17498778 39.691666 143.898 405.29633 280.4478 2 0.15322956 235.63681 270.62494 384.49698 380.47003 2 0.14548916 1.4788628 455.3968 17.09818 491.07666 2 0.087040335 457.65503 214.08919 505.46356 256.87863 2 0.08434311 0.0 488.83188 37.736385 512.0 2 0.081208974 36.133213 459.88766 85.43526 473.5721 2 0.0708804 196.48538 279.8421 259.29916 292.8897 2 0.07019966 217.45271 389.05316 287.87622 462.15613 2 0.068526074 72.4791 464.3127 108.673836 489.796 2 0.059161007 335.97586 295.12253 380.6592 319.6509 2 0.05785928 2.055128 125.53635 62.970528 219.47412 2 0.05747993 3.17939 258.3918 63.528526 322.81967 2 0.054228056 387.54565 256.72205 497.98737 346.2083 2 0.051821724 317.06058 275.4391 389.55154 328.24365 2 0.05158177 0.0 454.2417 27.639465 511.07977 6 0.43065923 163.46393 300.55896 291.20386 383.54553 6 0.4076384 235.81912 270.84012 384.21378 380.36508 6 0.16006042 199.44997 299.07983 282.46777 359.1549 6 0.106351115 2.055128 125.53635 62.970528 219.47412 6 0.09735767 0.16883087 456.1729 97.73833 511.37292 6 0.0875586 37.389343 460.13235 77.72198 472.2786 6 0.07722136 201.37491 279.06125 256.40067 301.3826 6 0.06359307 30.007816 127.98413 54.57989 220.04288 6 0.054510742 139.91702 292.12628 384.051 504.47717 7 0.9440098 1.3209515 85.53801 48.13878 136.44212 7 0.093544565 235.63681 270.62494 384.49698 380.47003 8 0.998784 147.26758 0.0 359.28943 222.91428 8 0.99353385 43.69381 58.188354 187.7522 223.8378 8 0.98467386 1.5128632 260.3573 241.55246 474.3874 8 0.98168695 154.76129 344.2679 353.1941 499.61942 8 0.93198824 0.8837738 194.06595 66.65009 323.39493 8 0.9271844 67.85521 429.09357 223.03099 511.4218 8 0.8124569 188.72617 144.17499 367.43448 219.39014 8 0.20240435 21.524658 275.89856 395.9701 501.81097 8 0.19883133 235.84352 270.7721 384.44287 380.40753 8 0.11571569 147.64005 301.363 290.10718 406.86105 8 0.11437297 387.75107 260.4531 494.89682 344.52213 8 0.08893654 1.5944805 128.08365 39.673943 209.42111 8 0.07707049 329.63272 288.5895 391.14767 326.3834 8 0.064979255 0.74098206 126.034584 71.82927 221.54327 8 0.052754484 336.42535 295.87283 382.47186 320.27 ,batch_01_vt/0070.jpg
1 0.38969725 72.304955 238.84276 101.49047 251.96062 1 0.32060125 318.07767 211.4042 380.61722 266.4046 1 0.2563513 338.87384 211.49338 363.15363 266.1846 1 0.2365504 73.27179 234.04518 106.969894 249.48549 1 0.2270215 72.815544 221.87157 111.12301 253.00179 1 0.2117362 389.8606 294.33154 416.4228 311.5569 1 0.15456906 316.353 236.86621 345.8801 256.40964 1 0.12015403 358.07425 212.19946 376.37698 269.39886 1 0.09861411 79.49994 220.5357 111.69115 238.13535 1 0.07616574 317.74295 218.05983 346.51077 260.6872 1 0.06908106 305.31223 209.65459 358.08298 261.65845 1 0.066769995 328.07584 229.39047 362.8741 259.57037 1 0.06015957 334.0927 213.51509 352.27472 261.07208 2 0.18335395 78.96311 219.26382 112.544044 239.57257 2 0.14480844 314.29233 236.63309 345.59506 257.95215 2 0.13858362 72.815544 221.87157 111.12301 253.00179 2 0.10431602 73.88405 235.22429 104.426956 251.38878 2 0.05047913 388.82465 294.04324 416.6886 311.9266 6 0.10342075 340.29688 186.04572 360.86108 207.54984 8 0.9991534 48.959343 232.5563 171.02261 302.71005 8 0.99898416 122.84829 250.85167 282.49124 358.63193 8 0.9986797 113.752945 157.6077 268.7564 269.26562 8 0.9984308 261.3222 193.18085 411.1471 347.9627 8 0.3174902 71.977295 235.4123 104.874954 252.03616 8 0.17675048 340.29688 186.04572 360.86108 207.54984 8 0.12386303 313.3512 236.0923 345.13922 259.04187 8 0.11634528 305.8279 215.03775 345.06436 247.94843 8 0.061448533 278.99835 234.62796 340.61157 274.79532 8 0.06102281 72.815544 221.87157 111.12301 253.00179 8 0.058963504 307.08002 210.8835 355.78583 262.27884 8 0.05879765 74.380455 232.46803 109.63622 246.9286 ,batch_01_vt/0076.jpg
1 0.4282464 403.5513 225.18605 465.42905 272.76624 1 0.272588 294.4397 313.69485 343.4405 336.821 1 0.1478609 378.84518 168.7092 403.2219 199.67624 1 0.106503226 244.81085 219.6819 308.9933 246.49638 1 0.10501199 320.36868 161.53604 405.845 199.13992 1 0.082108505 177.24191 199.81268 217.3244 234.76178 1 0.060659267 177.5851 212.45975 197.41216 233.14444 1 0.053344302 311.40262 353.71948 346.34653 386.6228 1 0.05235395 319.0021 165.36047 390.42313 187.8021 2 0.59826624 378.69446 168.31859 403.22284 199.77547 2 0.5300996 320.64395 160.72372 405.8986 198.40488 2 0.14031456 244.82747 220.26262 309.21646 245.97478 2 0.095596455 319.0021 165.36047 390.42313 187.8021 2 0.08500383 403.46634 225.33322 465.62192 272.72498 2 0.07228861 297.2592 312.38516 341.80093 341.9346 3 0.32858977 320.39124 160.286 405.19464 198.23436 3 0.07733455 319.0021 165.36047 390.42313 187.8021 6 0.30392808 284.3278 181.06244 354.26993 218.50858 6 0.22173676 219.0232 237.68417 296.40436 307.3408 6 0.20272936 292.36493 179.16655 332.35675 212.09047 6 0.119100004 244.90166 219.43903 309.1518 245.95273 6 0.099171735 301.60147 183.15717 345.11685 209.20587 6 0.06705126 293.59573 274.38443 372.25565 315.4089 6 0.06634028 309.21207 188.69376 354.73495 215.15247 6 0.060203347 318.0498 149.92293 409.1895 206.35661 6 0.057165306 195.1977 357.764 224.29443 377.10422 6 0.052044265 195.26227 207.71341 253.12146 254.32742 8 0.997474 98.552376 127.51911 204.85861 265.13248 8 0.9933375 338.64084 276.48697 472.1182 412.69003 8 0.9900393 181.80368 87.1874 291.21353 226.74774 8 0.9891383 425.7587 145.53146 512.0 250.66733 8 0.9858673 291.66202 162.7078 437.8306 291.99503 8 0.9800307 125.62419 227.88048 248.234 327.87265 8 0.95922756 436.11368 207.52342 511.97702 360.24872 8 0.94812405 210.19803 320.02338 429.42148 471.94287 8 0.9220583 194.17218 206.55014 255.26276 255.39117 8 0.9113655 189.18161 322.4396 354.62766 395.93832 8 0.85724425 295.7246 277.00125 369.83728 314.46664 8 0.83832145 176.9112 199.11317 220.28015 234.3744 8 0.8261124 372.5695 0.0 512.0 188.85791 8 0.7763598 442.0308 336.83008 510.90536 413.57025 8 0.76016426 219.00119 237.63153 296.41403 307.70605 8 0.6996591 216.8785 293.4579 295.7776 325.41956 8 0.55962104 403.06558 224.62575 466.29324 272.98172 8 0.5588518 285.91968 109.74394 416.06403 202.86436 8 0.4705968 390.99188 94.15816 511.48236 193.4326 8 0.3914786 390.5725 395.55286 509.03387 509.187 8 0.22306535 294.92776 312.40472 343.5676 339.8565 8 0.2208502 175.40707 197.44812 245.11038 247.66006 8 0.20925912 440.63333 362.4354 468.88596 412.89212 8 0.20015408 214.50531 283.91595 310.07812 339.22717 8 0.18665093 309.13153 352.15582 347.44824 389.62848 8 0.17424272 413.1068 92.424416 506.60944 328.10883 8 0.16500016 460.50165 355.0712 505.425 403.06424 8 0.14155042 283.20444 179.36722 352.8386 219.41827 8 0.12784742 245.22455 221.34785 308.3238 246.06725 8 0.121263206 208.17754 309.11276 350.37646 347.10593 8 0.11340995 168.8547 194.28252 294.1655 251.87846 8 0.10199814 286.8646 266.16306 304.3091 319.28403 8 0.099887714 254.3912 260.40564 483.9388 437.04498 8 0.086483516 234.97163 292.0214 285.25766 306.44308 8 0.07320613 318.0498 149.92293 409.1895 206.35661 8 0.063285984 468.73004 340.28445 491.432 362.48605 8 0.057761736 293.1083 270.7334 358.39597 337.80762 8 0.0556974 175.0968 215.7764 193.25143 231.98383 8 0.050459698 442.9209 324.05972 473.28528 396.58627 10 0.060029928 244.9747 219.93633 309.11545 245.62773 ,batch_01_vt/0078.jpg
1 0.9767948 217.71956 193.15895 263.6081 270.28714 1 0.07913275 96.79375 228.2503 277.02588 329.37207 1 0.059911065 217.49846 202.35522 243.0692 270.239 4 0.13761024 96.78718 235.89185 280.00583 328.10193 6 0.83955526 97.14579 235.28679 279.61258 326.41443 ,batch_01_vt/0096.jpg
1 0.7113551 398.77835 213.96559 423.6279 230.81801 1 0.24271019 171.1813 307.4946 241.59103 351.4117 1 0.2181379 348.11417 221.21811 487.25565 378.59183 1 0.19818372 290.65656 290.67392 438.79138 381.14627 1 0.11617262 18.81517 172.96237 53.46158 190.39584 1 0.07667793 219.62555 171.90735 360.94794 311.29114 1 0.071532845 326.40228 349.629 381.13824 384.61374 1 0.051088583 361.1441 288.72064 432.1455 363.35138 2 0.8272201 217.35663 171.44402 362.4264 310.84705 2 0.587627 172.53015 306.09787 241.2345 351.8231 2 0.5061825 312.36166 291.36096 433.70853 378.49298 2 0.12901959 335.58783 348.21152 377.92944 384.33853 2 0.07779727 321.6531 339.20062 420.0858 384.35315 2 0.060140762 272.89664 297.97403 429.0123 412.3489 2 0.053004734 398.36642 213.63219 424.06052 231.19655 2 0.050220918 351.80423 354.445 376.8077 384.65924 3 0.14143234 317.99475 291.67282 433.8604 376.29684 3 0.061093334 399.682 213.92699 423.52325 231.1027 3 0.056606445 326.40228 349.629 381.13824 384.61374 5 0.077363245 278.8191 321.05264 338.03333 381.3049 6 0.8594983 277.7619 321.48645 341.66382 381.1928 6 0.18140492 317.06964 291.5419 433.66156 377.2958 6 0.14125003 312.908 329.97656 341.89743 375.62897 6 0.0895385 226.0005 325.97058 261.103 351.9475 6 0.06884992 326.9599 345.34863 382.30408 383.62897 6 0.06443134 399.682 213.92699 423.52325 231.1027 6 0.05641978 272.89664 297.97403 429.0123 412.3489 6 0.05374236 14.752583 176.24388 53.505566 195.75844 7 0.3571135 15.190165 173.48135 53.717644 193.11835 7 0.18771386 253.7301 289.102 293.25934 320.61835 7 0.11398837 372.22708 350.42712 409.43674 385.11194 7 0.06828604 215.77496 171.47452 363.41974 310.64117 7 0.058869228 336.47263 350.5734 379.1943 383.39487 8 0.99851304 141.18752 274.33475 292.1344 452.30557 8 0.9962878 2.0896225 300.1542 244.54813 512.0 8 0.9928745 41.28521 234.23407 184.40115 346.01373 8 0.98954415 0.0 237.43907 77.051735 346.20764 8 0.98603094 0.9354782 173.02356 61.143257 262.5868 8 0.97217125 262.74036 285.63562 442.69855 470.56024 8 0.92020017 319.60422 227.88908 373.74155 268.93457 8 0.8340943 344.43768 220.87402 487.58545 378.43182 8 0.16470757 357.4352 224.2894 474.4448 289.09848 8 0.14728136 172.9614 305.67752 242.64645 351.881 8 0.14135092 158.15605 280.81342 288.19727 358.41724 8 0.082369804 286.22333 291.63272 436.99188 383.4667 8 0.07957069 4.215 241.84253 63.31415 299.96454 8 0.07856356 400.14548 213.73885 422.96902 232.21477 8 0.070407525 277.51608 322.17682 342.8878 381.00482 8 0.054250862 330.56802 256.47025 358.04184 275.22464 ,batch_01_vt/0101.jpg
1 0.562903 412.22272 109.263954 511.98785 326.69534 1 0.4422039 71.989494 119.06081 210.08572 208.1309 1 0.18962395 88.28676 251.55518 237.2488 392.85138 1 0.16407953 104.16519 0.0 431.58725 67.95088 1 0.15087844 136.05975 274.6566 304.09943 399.96884 1 0.124308236 440.80112 465.6617 512.0 511.40982 1 0.10543104 16.516495 115.79015 265.0832 217.99136 1 0.10357173 1.7648201 325.00894 35.06752 484.67087 1 0.06357697 150.69301 276.87192 239.16472 383.22098 1 0.051080387 432.7101 182.93063 512.0 297.2008 2 0.38231823 394.7136 110.01747 512.0 329.32227 2 0.19190662 108.19037 0.0 429.20026 65.2234 2 0.1741019 88.28676 251.55518 237.2488 392.85138 2 0.162424 436.93018 461.30902 512.0 512.0 2 0.11648121 147.05951 272.33356 302.79755 403.40198 2 0.07266173 405.66586 410.13022 512.0 512.0 5 0.06881394 154.28189 277.4722 301.34344 401.11246 6 0.4408712 89.295715 252.04475 232.58643 391.9428 6 0.41220552 153.45886 271.9624 301.28226 404.66937 6 0.20051369 0.0 141.93565 433.88544 472.40143 6 0.18724221 1.1868134 335.77985 36.667484 483.65826 6 0.10336721 15.287346 114.92783 265.47845 207.98615 6 0.08191351 435.94925 269.11584 512.0 428.9242 6 0.051343925 458.1829 345.24222 512.0 415.40292 7 0.21803163 16.678925 116.20351 263.73294 207.27596 7 0.12453569 1.4076729 326.57138 38.19327 485.28708 7 0.1103617 19.53112 351.94006 154.59622 504.4209 8 0.86675996 0.0 130.48067 469.5298 512.0 8 0.39662653 15.75795 104.60714 327.3877 322.73352 8 0.15508692 14.960823 113.47204 267.11462 245.74756 8 0.13318262 463.8428 344.9729 512.0 416.708 8 0.12132996 5.620079 225.46663 251.62656 506.18274 8 0.09980495 401.07648 403.5483 512.0 512.0 8 0.09099388 100.10571 0.0 431.04138 66.76787 8 0.08699539 0.73290825 327.42422 41.278862 485.63528 8 0.06173462 440.80112 465.6617 512.0 511.40982 8 0.0558447 436.76636 329.30386 512.0 425.62137 8 0.052594732 89.18472 254.49846 235.7649 391.05 10 0.08252794 90.36342 0.0 435.29755 66.6156 10 0.051843658 1.1868134 335.77985 36.667484 483.65826 ,batch_01_vt/0122.jpg
